iter	Passed	Remaining
806	1335	319
807	1336	317
808	1339	316
809	1341	314
810	1342	312
811	1344	311
812	1345	309
813	1347	307
814	1349	306
815	1350	304
816	1352	303
817	1355	301
818	1356	299
819	1358	298
820	1359	296
821	1361	294
822	1362	293
823	1364	291
824	1365	289
825	1367	288
826	1370	286
827	1372	285
828	1373	283
829	1375	281
830	1377	280
831	1378	278
832	1380	276
833	1381	274
834	1383	273
835	1385	271
836	1387	270
837	1389	268
838	1391	266
839	1393	265
840	1394	263
841	1396	261
842	1397	260
843	1400	258
844	1401	257
845	1403	255
846	1405	253
847	1407	252
848	1408	250
849	1410	248
850	1412	247
851	1414	245
852	1416	244
853	1418	242
854	1419	240
855	1420	239
856	1422	237
857	1424	235
858	1425	234
859	1427	232
860	1429	230
861	1431	229
862	1433	227
863	1434	225
864	1435	224
865	1437	222
866	1439	220
867	1440	219
868	1441	217
869	1443	215
870	1445	214
871	1447	212
872	1448	210
873	1450	209
874	1452	207
875	1454	205
876	1456	204
877	1457	202
878	1459	200
879	1461	199
880	1463	197
881	1465	196
882	1466	194
883	1468	192
884	1470	191
885	1472	189
886	1474	187
887	1477	186
888	1479	184
889	1481	183
890	1483	181
891	1485	179
892	1486	178
893	1488	176
894	1490	174
895	1492	173
896	1493	171
897	1495	169
898	1497	168
899	1499	166
900	1500	164
901	1502	163
902	1504	161
903	1507	160
904	1509	158
905	1510	156
906	1512	155
907	1513	153
908	1515	151
909	1516	150
910	1518	148
911	1519	146
912	1521	145
913	1523	143
914	1525	141
915	1526	140
916	1528	138
917	1530	136
918	1531	134
919	1532	133
920	1535	131
921	1537	130
922	1539	128
923	1541	126
924	1543	125
925	1544	123
926	1546	121
927	1548	120
928	1550	118
929	1552	116
930	1554	115
931	1556	113
932	1557	111
933	1559	110
934	1560	108
935	1562	106
936	1564	105
937	1566	103
938	1567	101
939	1569	100
940	1571	98
941	1573	96
942	1575	95
943	1576	93
944	1578	91
945	1580	90
946	1582	88
947	1585	86
948	1586	85
949	1588	83
950	1590	81
951	1591	80
952	1593	78
953	1595	76
954	1597	75
955	1599	73
956	1600	71
957	1602	70
958	1603	68
959	1605	66
960	1606	65
961	1608	63
962	1609	61
963	1611	60
964	1614	58
965	1615	56
966	1617	55
967	1619	53
968	1620	51
969	1621	50
970	1623	48
971	1624	46
972	1626	45
973	1628	43
974	1630	41
975	1632	40
976	1634	38
977	1636	36
978	1638	35
979	1639	33
980	1641	31
981	1643	30
982	1645	28
983	1646	26
984	1648	25
985	1649	23
986	1651	21
987	1653	20
988	1656	18
989	1658	16
990	1659	15
991	1661	13
992	1662	11
993	1663	10
994	1665	8
995	1667	6
996	1669	5
997	1671	3
998	1672	1
999	1674	0
